nama_produk,link_produk,harga,jumlah_terjual,toko,rating
"Oximeter  Oxymeter Pengukur Kadar Oxigen dalam darah Fingertip Puls
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/4g1yv5g-jual-oximeter-oxymeter-pengukur-kadar-oxigen-dalam-darah-fingertip-puls,22500,32,Gadget Definition,4.9
"paket laris manis 2in1 sesuai foto.. Termometer Oximeter.. Thermometer oksimeter oxymetri
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/4a3fv2g-jual-paket-laris-manis-2in1-sesuai-foto-termometer-oximeter-thermometer-oksimeter-oxymetri,264000,54,MH_18,5
"LK87 Oximeter Fingertip Pulse Pengukur Kadar Oksigen Detak Jantung LED
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/3pdrslq-jual-lk87-oximeter-fingertip-pulse-pengukur-kadar-oksigen-detak-jantung-led,21000,150,Palugada,4.8
"FINGER PULSE OXIMETER Alat Saturasi pengukur denyut nadi jantung jari alat ukur kadar oxigen oksigen
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/3lbmi1r-jual-finger-pulse-oximeter-alat-saturasi-pengukur-denyut-nadi-jantung-jari-alat-ukur-kadar-oxigen-oksigen,18498,125,kastil drakula,4.8
"Oximeter Oxymeter pulse Kesehatan Kadar Oksigen dan detak jantung oksimeter murah
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/1oi7c17-jual-oximeter-oxymeter-pulse-kesehatan-kadar-oksigen-dan-detak-jantung-oksimeter-murah,65000,350,Chi Chi store,4.9
"Fingertip Pulse Oximeter Oxymeter Alat Ukur Cek Saturasi SpO2 Pengukur Detak Jantung Kadar Oksigen Dalam Darah Blood Oxygen Super Akurat
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/4fwmtvd-jual-fingertip-pulse-oximeter-oxymeter-alat-ukur-cek-saturasi-spo2-pengukur-detak-jantung-kadar-oksigen-dalam-darah-blood-oxygen-super-akurat,90000,141,Importir Kudus,4.8
"Fingertip Pulse Oximeter LK87 Oxymeter Monitor LED LK 87 Alat Cek Saturasi Oksigen Detak Jantung Darah
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/alat-bantu-kesehatan/4g1mjej-jual-fingertip-pulse-oximeter-lk87-oxymeter-monitor-led-lk-87-alat-cek-saturasi-oksigen-detak-jantung-darah,39900,167,JIUSENLI,4.9
"Oximeter Naxen Oxymeter Oksimeter Fingertip Pulse Oksigen Meter SpO2
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/4gjpk8d-jual-oximeter-naxen-oxymeter-oksimeter-fingertip-pulse-oksigen-meter-spo2,89000,0,Toko Kado,0
"Oxymeter Pulse Oximeter Fingertip Sp02 akurat..Alat cek kadar oksigen & ukur detak jantung
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/3rdcoys-jual-oxymeter-pulse-oximeter-fingertip-sp02-akurat-alat-cek-kadar-oksigen-ukur-detak-jantung,125000,1,Cahaya  kinarikinarai,5
"Paket 2in1 Oximeter Termometer
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/4g21j3v-jual-paket-2in1-oximeter-termometer,200000,0,MEDIKA JAYA 88,0
"paket Pulse oximeter Sp02 & termometer digital gun..alat ukur detak jantung & alat ukur suhu tubuh
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/4e81t3v-jual-paket-pulse-oximeter-sp02-termometer-digital-gun-alat-ukur-detak-jantung-alat-ukur-suhu-tubuh,390000,0,Manjurmandiri shop,0
"fingertip pulse oximeter oximetry Sp02 saturation monitor original..alat ukur kadar oksigen & detak jantung
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/3ptkvc8-jual-fingertip-pulse-oximeter-oximetry-sp02-saturation-monitor-original-alat-ukur-kadar-oksigen-detak-jantung,100000,0,Manjurmandiri shop,0
"FINGER PULSE OXIMETER Alat Saturasi pengukur denyut nadi jantung jari alat ukur kadar oxigen oksigen
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/3lbmi1r-jual-finger-pulse-oximeter-alat-saturasi-pengukur-denyut-nadi-jantung-jari-alat-ukur-kadar-oxigen-oksigen,18498,125,kastil drakula,4.8
"Oximeter Jumper JPD-500E Finger Pulse Alat Ukur Saturasi Oksigen
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/alat-bantu-kesehatan/3vitcn0-jual-oximeter-jumper-jpd-500e-finger-pulse-alat-ukur-saturasi-oksigen,285000,5,Maestro Listrik,5
"F2 Fingertip Pulse Oximeter Premium - Alat Ukur Kadar oxygen SpO2
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/3aj1lia-jual-f2-fingertip-pulse-oximeter-premium-alat-ukur-kadar-oxygen-spo2,120000,102,Bobo Baby Shop,5
"Fingertip Pulse Oxymeter SP02 LED Full colour LK87
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/4g1mwkv-jual-fingertip-pulse-oxymeter-sp02-led-full-colour-lk87,35000,125,Syafara Store ID,4.8
"Fingertip pulse oxymeter Fingertip oximeter SpO2 LCD Full Colour LK88
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/alat-bantu-kesehatan/4g56amm-jual-fingertip-pulse-oxymeter-fingertip-oximeter-spo2-lcd-full-colour-lk88,50000,8,ANUGERAH ABADI NUSANTARA,5
"PULSE OXIMETER FINGERTIP Alat Ukur Kadar Oxigen Saturasi Oxymeter
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/43mfhn9-jual-pulse-oximeter-fingertip-alat-ukur-kadar-oxigen-saturasi-oxymeter,80000,64,Semarang Laptop Sparepart,4.9
